timestamp,script,output
2026-05-21T14:52:58,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\resonance_impedance_raw_20260521_144626.csv
2026-05-21T14:52:58,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\resonance_impedance_summary_20260521_144626.csv
2026-05-21T14:52:58,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\images\resonance_impedance_errorbar_20260521_144626.png
2026-05-21T15:09:25,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\resonance_impedance_raw_20260521_150608.csv
2026-05-21T15:09:25,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\resonance_impedance_summary_20260521_150608.csv
2026-05-21T15:09:25,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\images\resonance_impedance_errorbar_20260521_150608.png
2026-05-21T15:09:25,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\images\resonance_impedance_fine_only_20260521_150608.png
2026-05-21T15:13:50,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\resonance_impedance_raw_20260521_151145.csv
2026-05-21T15:13:50,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\resonance_impedance_summary_20260521_151145.csv
2026-05-21T15:13:50,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\images\resonance_impedance_errorbar_20260521_151145.png
2026-05-21T15:13:50,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\images\resonance_impedance_fine_only_20260521_151145.png
2026-05-21T15:56:56,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\resonance_impedance_raw_20260521_151457.csv
2026-05-21T15:56:56,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\resonance_impedance_summary_20260521_151457.csv
2026-05-21T15:56:56,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\images\resonance_impedance_errorbar_20260521_151457.png
2026-05-21T15:56:56,7共振現象,C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\images\resonance_impedance_fine_only_20260521_151457.png
2026-05-21T16:08:48,1リアクタンス測定(コイル),C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\reactance_coil_raw_20260521_160628.csv
2026-05-21T16:08:48,1リアクタンス測定(コイル),C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\reactance_coil_summary_20260521_160628.csv
2026-05-21T16:08:48,1リアクタンス測定(コイル),C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\images\reactance_coil_errorbar_fit_20260521_160628.png
2026-05-21T16:29:12,1リアクタンス測定(コイル),C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\reactance_coil_raw_20260521_162652.csv
2026-05-21T16:29:12,1リアクタンス測定(コイル),C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\reactance_coil_summary_20260521_162652.csv
2026-05-21T16:29:12,1リアクタンス測定(コイル),C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\images\reactance_coil_errorbar_fit_20260521_162652.png
2026-05-21T16:33:49,1リアクタンス測定(コイル),C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\reactance_coil_raw_20260521_163129.csv
2026-05-21T16:33:49,1リアクタンス測定(コイル),C:\Users\taise\OneDrive\デスクトップ\大分大学\3年生\前期\物理学PBL1\codes_launcher_updated\dist\launcher\results\data\reactance_coil_summary_20260521_163129.csv
